Mask,Nucleus_Loss,Cytoplasm_Loss,WBC_Loss,Overall_Accuracy
003.png,0.9086651053864169,0.9780783582089553,0.9911946692051404,0.9775
004.png,0.904945054945055,0.9828089523191696,0.9942086974834158,0.9804861111111111
005.png,0.8885390428211587,0.9023512476007678,0.9308190652475705,0.9179166666666667
006.png,0.8773100616016427,0.9908003679852806,0.991078228701991,0.975625
007.png,0.6707441386340469,0.9440344403444034,0.9901035886052534,0.9413888888888889
008.png,0.7385390428211587,0.9663656181874806,0.9910908300738809,0.9507638888888889
009.png,0.8331622176591376,0.9816192560175054,0.982111139304745,0.9618055555555556
010.png,0.8847753743760399,0.9608704749947687,0.9995843148122489,0.9675694444444445
011.png,0.8195664909197422,0.9898314933178385,0.9840017295427521,0.9659027777777778
012.png,0.7742653606411398,0.9546040753159659,0.9902138455962305,0.9469444444444445
013.png,0.7657232704402516,0.7944325481798715,0.9604419101924447,0.8851388888888889
014.png,0.82756785524215,0.9534438775510204,0.9942461374533831,0.9636111111111111
015.png,0.708433734939759,0.9786943458071565,0.9892659279778393,0.9461111111111111
016.png,0.9192037470725996,0.9565957446808511,0.987844056611965,0.9771527777777778
017.png,0.8540630182421227,0.9710753440634476,0.983140655105973,0.9633333333333334
018.png,0.759903381642512,0.9207161125319693,0.9935308137555329,0.9421527777777777
019.png,0.9229904440697021,0.957667731629393,0.9951622834022341,0.9829861111111111
020.png,0.909972299168975,0.9507127325440928,0.9992588017294627,0.971875
021.png,0.8730456535334584,0.9864325618515563,0.9766559337626495,0.9553472222222222
022.png,0.8681977034448327,0.9827173624036161,0.9808939323761,0.9656944444444444
023.png,0.7930693069306931,0.9951873496046751,0.982895153626861,0.95875
024.png,0.7325301204819277,0.9711045098568728,0.9861094187888388,0.9384027777777778
025.png,0.6664469347396177,0.8995633187772926,0.9944848332915518,0.9538888888888889
026.png,0.7210209145693016,0.7069029162052418,0.982412626832018,0.879375
027.png,0.6980759743463246,0.8970739219712526,0.9819511619676773,0.9190277777777778
028.png,0.8009732360097324,0.8952380952380953,0.9892121212121212,0.935625
029.png,0.9800646551724138,0.913317572892041,0.9865188470066519,0.9792361111111111
030.png,0.9259136212624585,0.8335529205094423,0.9882585317678042,0.9507638888888889
031.png,0.8931013051584835,0.9560047562425684,0.9943096234309623,0.9807638888888889
032.png,0.9368658399098083,0.9810996563573883,0.9756586983074507,0.9713194444444444
033.png,0.8344975819451907,0.9319644498927367,0.9942863303147909,0.9595138888888889
034.png,0.7685284640171858,0.9028955835039485,0.9957232152648317,0.9443055555555555
035.png,0.9618665328650275,0.8009734991887507,0.9582041566195889,0.9183333333333333
036.png,0.9271961492178099,0.8684640522875817,0.9990446413062359,0.9796527777777778
037.png,0.8753148614609572,0.9193467336683417,0.982223731884058,0.9530555555555555
038.png,0.9520255863539445,0.922740524781341,0.9986484203412739,0.9889583333333334
039.png,0.9273333333333333,0.8132470119521913,0.9978613237280505,0.9390277777777778
040.png,0.6163157894736843,0.908498759305211,0.9985985338507978,0.9279861111111111
041.png,0.9217970049916805,0.7042058660763697,0.9907603250584437,0.9102083333333333
042.png,0.8642533936651584,0.8756810302129767,0.997969664397468,0.9452083333333333
043.png,0.6268206931190357,0.7831858407079646,0.9622498647917793,0.8765277777777778
044.png,0.7874285714285715,0.7358967872501897,0.9448085546740256,0.8683333333333333
045.png,0.9067688378033205,0.9681151967086654,0.9917272219116825,0.9761111111111112
046.png,0.6880189798339265,0.9385330578512396,0.991630852748247,0.9418055555555556
047.png,0.935149863760218,0.8955365622032289,0.9564801945795691,0.9493055555555555
